"Date","Time","TimeZone","Name","Type","Status","Currency","Amount","Receipt ID","Balance"
"11/30/2021","18:07:34","EST","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.59","","197.51"
"12/07/2021","07:58:11","EST","","General Card Deposit","Completed","USD","36.37","","233.88"
"12/07/2021","07:58:11","EST","The Home Depot","Express Checkout Payment","Completed","USD","-36.37","","197.51"
"12/07/2021","07:58:11","EST","The Home Depot","General Authorization","Completed","USD","-36.37","","197.51"
"12/11/2021","21:54:22","EST","","General Card Deposit","Completed","USD","1,060.07","","1,257.58"
"12/11/2021","21:54:22","EST","Airbnb Payments Inc.","PreApproved Payment Bill User Payment","Completed","USD","-1,060.07","","197.51"
"12/11/2021","21:54:22","EST","Airbnb Payments Inc.","General Authorization","Completed","USD","-1,060.07","","197.51"
"12/12/2021","13:49:16","EST","Viator (TripAdvisor)","Express Checkout Payment","Completed","USD","-517.51","","-320.00"
"12/12/2021","13:49:16","EST","","General Card Deposit","Completed","USD","517.51","","197.51"
"12/12/2021","13:49:16","EST","Viator (TripAdvisor)","General Authorization","Completed","USD","-517.51","","197.51"
"12/16/2021","16:04:29","EST","","General Card Deposit","Completed","USD","2.12","","199.63"
"12/16/2021","16:04:29","EST","Best Buy Co., Inc.","Express Checkout Payment","Completed","USD","-2.12","","197.51"
"12/16/2021","16:04:29","EST","Best Buy Co., Inc.","General Authorization","Completed","USD","-2.12","","197.51"
"12/24/2021","09:16:47","EST","","General Card Deposit","Completed","USD","150.00","","347.51"
"12/24/2021","09:16:47","EST","CashStar- BrooksBrothers","Express Checkout Payment","Completed","USD","-150.00","","197.51"
"12/24/2021","09:16:47","EST","CashStar- BrooksBrothers","General Authorization","Completed","USD","-150.00","","197.51"
"12/28/2021","12:13:52","EST","Groupon Inc","PreApproved Payment Bill User Payment","Completed","USD","-55.00","","142.51"
"12/28/2021","12:13:52","EST","","General Card Deposit","Completed","USD","55.00","","197.51"
"12/28/2021","12:13:52","EST","Groupon Inc","General Authorization","Completed","USD","-55.00","","197.51"
"12/30/2021","18:07:33","EST","","General Card Deposit","Completed","USD","10.59","","208.10"
"12/30/2021","18:07:33","EST","Spotify USA Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.59","","197.51"
